State,Obama,McCain,Nader,Barr,Baldwin,McKinney,Others,Total,,Obama Pct,McCain Pct,O Rounded,M Rounded
Alabama,"813,479","1,266,546","6,788","4,991","4,310",0,"3,705","2,099,819",,38.74,60.32,39,60
Alaska,"123,594","193,841","3,783","1,589","1,660",0,"1,730","326,197",,37.89,59.42,38,59
Arizona,"1,034,707","1,230,111","11,301","12,555","1,371","3,406",24,"2,293,475",,45.12,53.64,45,54
Arkansas,"422,310","638,017","12,882","4,776","4,023","3,470","1,139","1,086,617",,38.86,58.72,39,59
California,"8,274,473","5,011,781","108,381","67,582","3,145","38,774","57,764","13,561,900",,61.01,36.95,61,37
Colorado,"1,288,576","1,073,589","13,350","10,897","6,233","2,822","5,894","2,401,361",,53.66,44.71,54,45
Connecticut,"997,772","629,428","19,162",,311,90,29,"1,646,792",,60.59,38.22,61,38
Delaware,"255,459","152,374","2,401","1,109",626,385,58,"412,412",,61.94,36.95,62,37
District of Columbia,"245,800","17,367",958,,,590,"1,138","265,853",,92.46,6.53,92,7
Florida,"4,282,074","4,045,624","28,124","17,218","7,915","2,887","6,902","8,390,744",,51.03,48.22,51,48
Georgia,"1,844,137","2,048,744","1,123","28,812","1,305",249,62,"3,924,432",,46.99,52.20,47,52
Hawaii,"325,871","120,566","3,825","1,314","1,013",979,,"453,568",,71.85,26.58,72,27
Idaho,"236,440","403,012","7,175","4,747","3,658",,,"655,032",,36.10,61.53,36,62
Illinois,"3,419,673","2,031,527","30,952","19,645","8,256","11,838","1,160","5,523,051",,61.92,36.78,62,37
Indiana,"1,374,039","1,345,648",909,"29,257",1024,87,90,"2,751,054",,49.95,48.91,50,49
Iowa,"828,940","682,379","8,014","4,590","4,445","1,423","7,332","1,537,123",,53.93,44.39,54,44
Kansas,"514,765","699,655","10,527","6,706","4,148",35,36,"1,235,872",,41.65,56.61,42,57
Kentucky,"751,985","1,048,462","15,378","5,989","4,694",,,"1,826,508",,41.17,57.40,41,57
Louisiana,"782,989","1,148,275","6,997",,"2,581","9,187","10,732","1,960,761",,39.93,58.56,40,59
Maine,"421,923","295,273","10,636",,,"2,900",431,"731,163",,57.71,40.38,58,40
Maryland,"1,629,467","959,862","14,713","9,842","3,760","4,747","9,205","2,631,596",,61.92,36.47,62,36
Massachusetts,"1,904,097","1,108,854","28,841","13,189","4,971","6,550","14,483","3,080,985",,61.80,35.99,62,36
Michigan,"2,872,579","2,048,639","33,085","23,716","14,685","8,892",170,"5,001,766",,57.43,40.96,57,41
Minnesota,"1,573,354","1,275,409","30,152","9,174","6,787","5,174","10,319","2,910,369",,54.06,43.82,54,44
Mississippi,"554,662","724,597","4,011","2,529","2,551","1,034",481,"1,289,865",,43.00,56.18,43,56
Missouri,"1,441,911","1,445,814","17,813","11,386","8,201",80,,"2,925,205",,49.29,49.43,49,49
Montana,"231,667","242,763","3,686","1,355",,,"10,638","490,109",,47.27,49.53,47,50
Nebraska,"333,319","452,979","5,406","2,740","2,972","1,028","2,837","801,281",,41.60,56.53,42,57
Nevada,"533,736","412,827","6,150","4,263","3,194","1,411","6,267","967,848",,55.15,42.65,55,43
New Hampshire,"384,826","316,534","3,503","2,217",226,40,"3,624","710,970",,54.13,44.52,54,45
New Jersey,"2,215,422","1,613,207","21,298","8,441","3,956","3,636","2,277","3,868,237",,57.27,41.70,57,42
New Mexico,"472,422","346,832","5,327","2,428","1,597","1,552",,"830,158",,56.91,41.78,57,42
New York,"4,769,700","2,742,298","41,086","19,513",614,"12,729","8,873","7,594,813",,62.80,36.11,63,36
North Carolina,"2,142,651","2,128,474",,"25,722",,,"13,942","4,310,789",,49.70,49.38,50,49
North Dakota,"141,278","168,601","4,189","1,354","1,199",,,"316,621",,44.62,53.25,45,53
Ohio,"2,933,388","2,674,491","42,288","19,888","12,550","8,513","7,142","5,698,260",,51.48,46.94,51,47
Oklahoma,"502,496","960,165",,,,,,"1,462,661",,34.35,65.65,34,66
Oregon,"1,037,291","738,475","18,614","7,635","7,693","4,543","13,613","1,827,864",,56.75,40.40,57,40
Pennsylvania,"3,276,363","2,655,885","42,977","19,912",,,,"5,995,137",,54.65,44.30,55,44
Rhode Island,"296,571","165,391","4,829","1,382",675,797,122,"469,767",,63.13,35.21,63,35
South Carolina,"862,449","1,034,896","5,053","7,283","6,827","4,461",,"1,920,969",,44.90,53.87,45,54
South Dakota,"170,924","203,054","4,267","1,835","1,895",,,"381,975",,44.75,53.16,45,53
Tennessee,"1,087,437","1,479,178","11,560","8,547","8,191","2,499","2,337","2,599,749",,41.83,56.90,42,57
Texas,"3,528,633","4,479,328","5,214","56,116","5,052",671,"2,781","8,077,795",,43.68,55.45,44,55
Utah,"327,670","596,030","8,416","6,966","12,012",982,294,"952,370",,34.41,62.58,34,63
Vermont,"219,262","98,974","3,339","1,067",500,,"1,904","325,046",,67.46,30.45,67,30
Virginia,"1,959,532","1,725,005","11,483","11,067","7,474","2,344","6,355","3,723,260",,52.63,46.33,53,46
Washington,"1,750,848","1,229,216","29,489","12,728","9,432","3,819","1,346","3,036,878",,57.65,40.48,58,40
West Virginia,"303,857","397,466","7,219",,"2,465","2,355",89,"713,451",,42.59,55.71,43,56
Wisconsin,"1,677,211","1,262,393","17,605","8,858","5,072","4,216","8,062","2,983,417",,56.22,42.31,56,42
Wyoming,"82,868","164,958","2,525","1,594","1,192",,"1,521","254,658",,32.54,64.78,33,65
